Goodreads Id,Title,ISBN,ISBN13,Read At,Average Rating,Rating,Categories,Genre,Word Count,Author
33652490,Men Without Women,385689446,9780385689441,Sun Oct 15 00:00:00 -0700 2017,3.77,4,['Fiction / Literary'],short story,46206,Ernest Hemingway
119324,"The Subtle Knife (His Dark Materials, #2)",679879250,9780679879251,Thu Oct 12 00:00:00 -0700 2017,4.11,5,"['Juvenile Fiction / Fantasy & Magic', 'Juvenile Fiction / Action & Adventure / Survival Stories', 'Juvenile Fiction / Classics']",fantasy,90302,Philip Pullman
119322,"The Golden Compass (His Dark Materials, #1)",679879242,9780679879244,Wed Oct 04 00:55:14 -0700 2017,3.94,4,"['Juvenile Fiction / Fantasy & Magic', 'Juvenile Fiction / Action & Adventure / General', 'Juvenile Fiction / Social Themes / Self-Esteem & Self-Reliance']",fantasy,110922,Philip Pullman
21787,The Princess Bride,345418263,9780345418265,Wed Sep 27 12:31:32 -0700 2017,4.25,5,"['Fiction / Coming of Age', 'Fiction / Cultural Heritage', 'Fiction / Literary']",fantasy,105470,William Goldman
17061,Coraline,61139378,9780061139376,Mon Sep 25 00:00:00 -0700 2017,4.03,4,['Juvenile Fiction / Comics & Graphic Novels / General'],fantasy,43092,Neil Gaiman
122,"The Power of One (The Power of One, #1)",034541005X,9780345410054,Fri Sep 22 00:00:00 -0700 2017,4.34,5,"['Fiction / Biographical', 'Fiction / Action & Adventure', 'Fiction / Historical', 'Fiction / Coming of Age']",historical fiction,137088,Bryce Courtenay
830,Snow Crash,553380958,9780553380958,Thu Aug 10 00:00:00 -0700 2017,4.03,5,['Fiction / Science Fiction / Hard Science Fiction'],science fiction,136218,Neal Stephenson
25489025,The Vegetarian,553448188,9780553448184,Fri Dec 22 00:00:00 -0800 2017,3.58,3,['Fiction / General'],literary fiction,44556,Han Kang
40445,"Altered Carbon (Takeshi Kovacs, #1)",345457692,9780345457691,Tue Dec 26 00:00:00 -0800 2017,4.10,4,,science fiction,146228,Richard K. Morgan
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",765377063,9780765377067,Mon Jul 31 00:00:00 -0700 2017,4.02,5,"['Fiction / Fantasy / Collections & Anthologies', 'Fiction / Literary', 'Fiction / Science Fiction / Collections & Anthologies', 'Fiction / Short Stories (single author)']",science fiction,118800,Liu Cixin
272773,The Rest of the Robots (Robot #0.2),586025944,9780586025949,Wed Apr 12 00:00:00 -0700 2017,4.08,5,,science fiction,71008,Isaac Asimov
10884,Einstein: His Life and Universe,743264738,9780743264730,Mon Jul 31 13:12:38 -0700 2017,4.09,4,"['Biography & Autobiography / Historical', 'History / United States / Colonial Period (1600-1775)', 'Literary Collections / American / General', 'Biography & Autobiography / General']",biography,130587,Walter Isaacson
59219,"The Talisman (The Talisman, #1)",375507779,9780375507779,Sat Jul 22 13:29:38 -0700 2017,4.13,4,['Fiction / Science Fiction / General'],fantasy,192992,Stephen King
23692271,Sapiens: A Brief History of Humankind,077103850X,9780771038501,Thu Jul 06 00:00:00 -0700 2017,4.44,5,,narrative nonfiction,104991,Yuval Noah Harari
